feature,clf_xgb,clf_lgbm,clf_rf,reg_xgb,reg_lgbm,reg_rf,avg_importance
spread_surprise,0.022023467,239,0.057787735404198265,0.08643367,199,0.448182858746033,73.10240462215201
sp_largest_run_home,0.014199985,131,0.005816550986137254,0.0056754695,188,0.00875877885822702,53.17240846409346
sp_largest_run_away,0.011986384,104,0.005013736931294429,0.006149945,153,0.009867023043306071,42.83883618149869
pace_x_lead,0.07689684,126,0.11586214147597847,0.048675198,125,0.16669725872075689,41.901355239524754
sp_scoring_consistency_away,0.010491259,126,0.010739291056019677,0.0029977416,112,0.0027424983031111125,39.671161798387345
opening_spread,0.011741401,95,0.011571203607238663,0.0030815527,135,0.0022275496036036767,38.33810361776525
dna_entropy,0.011613403,120,0.009671614380196647,0.0023556962,109,0.0012729156568435812,38.170818938275296
opening_ou,0.011962874,117,0.006169223274594466,0.0023049696,112,0.0011983192567569167,38.17027256433014
pace_variance,0.011653092,91,0.00904122935760891,0.0027442514,118,0.0026122410085718745,34.837675135586856
lead_acceleration,0.011069265,102,0.00977603577186945,0.0025340747,104,0.0018701034183241662,34.337541579848875
lead_trend_r2,0.011027671,118,0.026008682342572885,0.0024858702,81,0.0011831222668053265,33.173450891026164
sp_scoring_consistency_home,0.011606264,111,0.00984632757227158,0.002401317,87,0.001702546123878961,33.00425940910473
ta_bb_position,0.010566312,92,0.007811513547036099,0.002728991,104,0.00152794448608043,32.670439126816525
ta_bb_width,0.012439554,126,0.0,0.0020714845,70,0.0,32.66908517301393
ta_rsi,0.010977066,88,0.006749242659392056,0.0025250048,106,0.0011754567617774736,32.336904461722376
ou_differential,0.010899596,94,0.006398327483614285,0.0027693524,92,0.001412724753590706,31.00358000009267
dna_run_length_avg,0.011954006,91,0.004870538488066751,0.0025709576,90,0.001689929016460662,30.170180905159345
sp_q3_last5min_rate,0.0112200705,112,0.0054580478318573536,0.0023207983,68,0.0012167891963428326,30.00336928431807
lead_momentum,0.012136125,104,0.014180888330445533,0.0028866776,71,0.0019632837865910706,29.171861162458217
lead_early,0.011359212,69,0.006931199440549939,0.002599971,93,0.0013809152214583973,27.003711882925668
dna_fft_power_low,0.010118294,76,0.008050003993106463,0.0027909,79,0.0010928967094809908,25.837008682370968
dna_crossing_rate,0.0117387725,86,0.006474279494703273,0.0027191564,69,0.0008373915128144636,25.836961599992602
ta_momentum_divergence,0.010086085,60,0.00719555672060663,0.0022722473,91,0.00101370321643423,25.170094598664978
lead_x_momentum,0.013075612,95,0.03292585678770216,0.0030594845,50,0.001964399078784899,24.1751708919918
q3_lead,0.013758247,35,0.03470586156733301,0.15278164,106,0.2214021036891361,23.570441307927698
away_q2,0.013617111,39,0.0052911493998005375,0.0021995113,99,0.0009445449705012361,23.003675386169473
lead_x_volatility,0.023347877,70,0.06263072584090579,0.008629332,63,0.015430912145720664,22.185006474541527
q2_total,0.010714882,93,0.005187287731248107,0.0024594925,40,0.0009739405748763175,22.169889267148992
ta_roc_long,0.013852993,70,0.006242696085594381,0.0029228358,62,0.0008192142320530718,22.003972956517305
dna_autocorr_3,0.010758603,78,0.008979266746971764,0.0024655059,53,0.0009404228204932138,21.83719063306843
dna_autocorr_5,0.011761648,67,0.01014719182809935,0.002697575,63,0.001618728106947798,21.671037523748367
ta_macd,0.011517812,57,0.006752663768753395,0.0023561819,71,0.0005250288077156497,21.336858614332595
lead_trend_slope,0.011965014,76,0.016782500512690035,0.003884149,43,0.0007942622647549246,19.838904320972457
dna_mean_reversion_speed,0.011119833,56,0.013305608130935377,0.002623288,61,0.001114910232159345,19.504693939923342
dna_autocorr_1,0.0113010565,63,0.008812112159670298,0.0024031682,54,0.0007425471818221362,19.503876480677324
pace_trend,0.011073078,57,0.005022380330047392,0.00285491,60,0.0016666485574572225,19.50343616948284
sp_q3_late_margin,0.01088994,68,0.003616277068885574,0.0024301365,46,0.0006791474168192785,19.00293591683298
pace_q3_vs_avg,0.01136653,68,0.006322348535033693,0.0025552947,44,0.000998761211648889,18.67020715578818
lead_mid,0.010098361,47,0.007738583732852181,0.0032682987,64,0.0011467470198234376,18.503708665142643
sp_q3_scoring_rate,0.013140947,63,0.006115628221273524,0.0022040587,46,0.0007510914626091909,18.17036862083373
trend_x_lead,0.02709198,64,0.05718137022532285,0.0060155466,42,0.005037227127740005,17.682554353992238
away_q1,0.010561262,59,0.00477507987232437,0.0025028689,47,0.0006468031758006721,17.669747669031473
q1_margin,0.011448843,44,0.005357780145640437,0.0025493677,61,0.000944499695810684,17.50338341516168
dna_fft_dominant_freq,0.008670833,68,0.0031747324652670506,0.0023724162,36,0.00041890006604697647,17.33577281361585
sp_home_scoring_acceleration,0.009986881,43,0.0044886593091506945,0.002155929,58,0.0007823987913861349,16.836235644728763
q1_total,0.009522704,48,0.005271422312050269,0.0022869827,52,0.0010656462609713608,16.66969112595053
q3_total,0.01069659,52,0.005421658715705268,0.0025013788,47,0.0002108460740115566,16.50313841225061
sp_q3_late_home_pts,0.012856788,52,0.003773819413871507,0.003142583,45,0.0005571916978112641,16.17005506367746
sp_away_scoring_acceleration,0.011925733,67,0.004874351733267963,0.0024332975,29,0.0007717630581170494,16.003334190827577
ta_roc_short,0.01057229,47,0.003896425634662982,0.0027635104,49,0.0007547981930283822,16.002997837387426
lead_volatility,0.01181302,47,0.018779652314998785,0.0026930268,48,0.0010100570389471033,15.839049292746644
q3_lead_abs,0.033553176,68,0.08803336040174733,0.008968385,18,0.029931494783641793,14.360081069291672
home_q3,0.011080627,32,0.004924453444400732,0.0022255972,53,0.0007414374325168528,14.169828685893798
lead_late,0.011401507,53,0.013987801366735886,0.0030455454,30,0.001093275681768863,13.838254688257654
